Index,Business Name,Business Address,Postal Code,city,Latitudes,Longitudes,New Merge,New Merge Value,Google Address,email,phone,website
10379,Millcroft Inn and Spa,55 John St,L7K 0C4,Alton,,,"55 John St, Alton, L7K 0C4","55 John St, Alton, L7K 0C4","55 John St, ON L7K 0C4,Alton, CANADA",,(519) 941-8111,
10521,Lisa Durham Destination Health and Wellness Mobile Massage,,,,,,,,", ON ,, CANADA",,(705) 878-0601,
10558,"Lisa Margaret Hipwell, RMT",593 MONTEITH RD,P7J 0G3,Slate River,,,"593 MONTEITH RD, Slate River, P7J 0G3","593 MONTEITH RD, Slate River, P7J 0G3","593 MONTEITH RD, ON P7J 0G3,Slate River, CANADA",,(807) 252-3357,
10629,Mobile Registered Massage Therapy,House Calls,N6P 1B9,London,,,"House Calls, London, N6P 1B9","House Calls, London, N6P 1B9","House Calls, ON N6P 1B9,London, CANADA",,(519) 719-5321,www.lisalanthierrmt.com
11183,Complete Integrative Care,23 King Street West,L7E 1C7,Bolton,,,"23 King Street West, Bolton, L7E 1C7","23 King Street West, Bolton, L7E 1C7","23 King Street West, ON L7E 1C7,Bolton, CANADA",,(905) 533-2273,www.cicare.ca
11211,"Margaret Lopez, RMT",5755 NINTH ST,N9H 1P3,Windsor,,,"5755 NINTH ST, Windsor, N9H 1P3","5755 NINTH ST, Windsor, N9H 1P3","5755 NINTH ST, ON N9H 1P3,Windsor, CANADA",,(519) 965-7050,
11787,"Megan Barney, RMT",300 South Edgeware Rd st,N5R 3T8,St. Thomas,,,"300 South Edgeware Rd st, St. Thomas, N5R 3T8","300 South Edgeware Rd st, St. Thomas, N5R 3T8","300 South Edgeware Rd st, ON N5R 3T8,St. Thomas, CANADA",,(519) 933-6271,
11949,Bolton Naturopathic Clinic,64 King St. West,L7E 1C7,Bolton,,,"64 King St. West, Bolton, L7E 1C7","64 King St. West, Bolton, L7E 1C7","64 King St. West, ON L7E 1C7,Bolton, CANADA",,(905) 533-5300,
12036,Millcroft Inn and Spa,55 John St,L7K 0C4,Alton,,,"55 John St, Alton, L7K 0C4","55 John St, Alton, L7K 0C4","55 John St, ON L7K 0C4,Alton, CANADA",,(800) 383-3976,
12218,Scape Spa,646 Mount Pleasant Road,N0E 1K0,Mount Pleasant,,,"646 Mount Pleasant Road, Mount Pleasant, N0E 1K0","646 Mount Pleasant Road, Mount Pleasant, N0E 1K0","646 Mount Pleasant Road, ON N0E 1K0,Mount Pleasant, CANADA",,(519) 484-1110,
12370,"Michelle M. Walton, RMT",306 SONGBIRD LANE,N0M 2A0,London,,,"306 SONGBIRD LANE, London, N0M 2A0","306 SONGBIRD LANE, London, N0M 2A0","306 SONGBIRD LANE, ON N0M 2A0,London, CANADA",,(226) 234-1724,
13628,Queen's Health Centre and Wellness,238 Barrie St,L0L 2N0,Thornton,,,"238 Barrie St, Thornton, L0L 2N0","238 Barrie St, Thornton, L0L 2N0","238 Barrie St, ON L0L 2N0,Thornton, CANADA",,(705) 500-0239,https://www.queenshealthcentre.com/
14560,Complete Integrative Care,23 King St West,L7E 1C7,Bolton,,,"23 King St West, Bolton, L7E 1C7","23 King St West, Bolton, L7E 1C7","23 King St West, ON L7E 1C7,Bolton, CANADA",,(905) 533-2273,cicare.ca
15000,Millcroft Inn & Spa,55 John St,L7K 0C4,Alton,,,"55 John St, Alton, L7K 0C4","55 John St, Alton, L7K 0C4","55 John St, ON L7K 0C4,Alton, CANADA",,1 (800) 383-3976,
15128,"Samantha Hill, RMT",103 Marconi Crt,N5Z 2Z3,London,,,"103 Marconi Crt, London, N5Z 2Z3","103 Marconi Crt, London, N5Z 2Z3","103 Marconi Crt, ON N5Z 2Z3,London, CANADA",,(519) 495-6065,
15174,Mill Croft Inn & Spa,55 John St,L7K 0C4,Alton,,,"55 John St, Alton, L7K 0C4","55 John St, Alton, L7K 0C4","55 John St, ON L7K 0C4,Alton, CANADA",,1 (519) 941-8111,
15500,"Scott Mooney, RMT",34 Raina Drive PO Box 422,L0S 1T0,Virgil,,,"34 Raina Drive PO Box 422, Virgil, L0S 1T0","34 Raina Drive PO Box 422, Virgil, L0S 1T0","34 Raina Drive PO Box 422, ON L0S 1T0,Virgil, CANADA",,(905) 329-0520,mobilitymassagetherapy.ca
15908,St Anne's Spa,Massey Road Rural Route #1,K0K 1C0,Grafton,,,"Massey Road Rural Route #1, Grafton, K0K 1C0","Massey Road Rural Route #1, Grafton, K0K 1C0","Massey Road Rural Route #1, ON K0K 1C0,Grafton, CANADA",,(905) 349-3704,
16006,"Sherry M. Cole, RMT",611 Devon St,N4Z 1A5,Stratford,,,"611 Devon St, Stratford, N4Z 1A5","611 Devon St, Stratford, N4Z 1A5","611 Devon St, ON N4Z 1A5,Stratford, CANADA",,(519) 271-1172,
16578,Huronia Physiotherapy & Chiropractic,1 - 619 Prospect Boulevard Building A,L4R 0G3,Midland,,,"1 - 619 Prospect Boulevard Building A, Midland, L4R 0G3","1 - 619 Prospect Boulevard Building A, Midland, L4R 0G3","1 - 619 Prospect Boulevard Building A, ON L4R 0G3,Midland, CANADA",,(705) 526-0174,https://huroniaphysioandchiro.com/
16831,Millcroft Spa,55 John St,L7K 0C4,Alton,,,"55 John St, Alton, L7K 0C4","55 John St, Alton, L7K 0C4","55 John St, ON L7K 0C4,Alton, CANADA",,(416) 898-4153,
16945,"Tanya Berendsen, RMT","5170 Perth Line 20, R. R. 2",N0K 1V0,St. Pauls,,,"5170 Perth Line 20, R. R. 2, St. Pauls, N0K 1V0","5170 Perth Line 20, R. R. 2, St. Pauls, N0K 1V0","5170 Perth Line 20, R. R. 2, ON N0K 1V0,St. Pauls, CANADA",,(519) 276-7227,
17645,The Chiropractic House & Co,80 Mary street,N0M 1S1,Clinton,,,"80 Mary street, Clinton, N0M 1S1","80 Mary street, Clinton, N0M 1S1","80 Mary street, ON N0M 1S1,Clinton, CANADA",,(519) 606-7777,Clintonchirohouse.com
17821,"Victoria Ashley Harbottle, RMT",42 Sparky's Way,N5P 0E9,St Thomas,,,"42 Sparky's Way, St Thomas, N5P 0E9","42 Sparky's Way, St Thomas, N5P 0E9","42 Sparky's Way, ON N5P 0E9,St Thomas, CANADA",,(519) 859-7095,https://www.vhrmt.ca
